"swt","sr","st100","st255","sm100","sm255","doc_gwlf","cyday"
13.667684,120.625,12.21958333,13.55291667,0.398,0.4,11.895,0.0348994967025013
13.604895,98.25,12.16958333,13.505,0.397833333,0.4,12.607,0.0523359562429439
13.624844,93.45833333,12.22166667,13.4925,0.399916667,0.4,12.465,0.0697564737441252
13.485013,100.7916667,12.305,13.455,0.402458333,0.4,11.442,0.0871557427476579
13.248107,87.375,12.26333333,13.4425,0.407666667,0.4,12.094,0.104528463267653
13.062162,115,12.1175,13.405,0.413041667,0.400291667,12.302,0.121869343405148
12.960638,92.625,11.9425,13.38,0.414,0.401,11.316,0.139173100960065
12.877248,120,11.72166667,13.34875,0.413625,0.401958333,11.243,0.156434465040231
12.84336,106.2916667,11.53625,13.305,0.412041667,0.402291667,11.014,0.17364817766693
12.802097,102,11.30916667,13.26333333,0.409791667,0.403,10.633,0.190808995376544
12.730539,116.4166667,11.09458333,13.21541667,0.408208333,0.403,10.195,0.207911690817759
12.667568,114.5,10.96333333,13.16958333,0.406625,0.403,9.762,0.224951054343865
